Call start,Call duration,Ring duration,Direction,Is_Internal,Continuation,Party1Name
09-06-15 7:27,0:00:06,0,I,0,1,ACC
09-06-15 11:27,0:00:06,0,),0,1,Sales
09-06-15 7:27,0:00:06,0,I,0,1,ACC
09-06-15 7:27,0:00:06,0,I,1,1,ACC
09-06-15 7:27,0:00:06,0,I,1,0,Suzzy
09-06-15 03:27,0:00:06,0,I,0,1,Suzzy
09-06-15 7:27,0:00:06,0,I,0,1,ACC
09-06-15 7:27,0:00:06,0,O,0,0,Sales
09-06-15 7:27,0:00:06,0,I,1,1,ACC
09-06-15 12:27,0:00:06,0,I,0,1,Matt
09-06-15 10:27,0:00:06,0,I,0,1,VM Channel
09-06-15 7:27,0:00:06,0,),0,0,VM Channel
09-06-15 7:27,0:00:06,0,I,0,1,Voice Mail